序号	Emoji	建议分类	展示方式	主网格代表	原始界面位置	图片文件	图片存在	CodePoint	Unicode分组	Unicode子组	Unicode状态	中文名	英文名
1	😀	笑脸	主网格	😀	Emoji·表情与人物 / 第 28 行	1f600.png	是	U+1F600	Smileys & Emotion	face-smiling	fully-qualified	嘿嘿	GRINNING FACE
2	😃	笑脸	主网格	😃	Emoji·表情与人物 / 第 28 行	1f603.png	是	U+1F603	Smileys & Emotion	face-smiling	fully-qualified	哈哈	SMILING FACE WITH OPEN MOUTH
3	😄	笑脸	主网格	😄	Emoji·表情与人物 / 第 28 行	1f604.png	是	U+1F604	Smileys & Emotion	face-smiling	fully-qualified	大笑	SMILING FACE WITH OPEN MOUTH AND SMILING EYES
4	😁	笑脸	主网格	😁	Emoji·表情与人物 / 第 28 行	1f601.png	是	U+1F601	Smileys & Emotion	face-smiling	fully-qualified	嘻嘻	GRINNING FACE WITH SMILING EYES
5	😆	笑脸	主网格	😆	Emoji·表情与人物 / 第 28 行	1f606.png	是	U+1F606	Smileys & Emotion	face-smiling	fully-qualified	斜眼笑	SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
6	😅	笑脸	主网格	😅	Emoji·表情与人物 / 第 28 行	1f605.png	是	U+1F605	Smileys & Emotion	face-smiling	fully-qualified	苦笑	SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
7	🤣	笑脸	主网格	🤣	Emoji·符号与旗帜 / 第 68 行	1f923.png	是	U+1F923	Smileys & Emotion	face-smiling	fully-qualified	笑得满地打滚	ROLLING ON THE FLOOR LAUGHING
8	😂	笑脸	主网格	😂	Emoji·表情与人物 / 第 28 行	1f602.png	是	U+1F602	Smileys & Emotion	face-smiling	fully-qualified	笑哭了	FACE WITH TEARS OF JOY
9	🙂	笑脸	主网格	🙂	Emoji·表情与人物 / 第 32 行	1f642.png	是	U+1F642	Smileys & Emotion	face-smiling	fully-qualified	呵呵	SLIGHTLY SMILING FACE
10	🙃	笑脸	主网格	🙃	Emoji·表情与人物 / 第 32 行	1f643.png	是	U+1F643	Smileys & Emotion	face-smiling	fully-qualified	倒脸	UPSIDE-DOWN FACE
